provinsi,kode_kota_kabupaten,nama_kota_kabupaten,tahun,prevalensi_stunting
JAWA BARAT,3201,Kabupaten Bogor,2015,26.22377622
JAWA BARAT,3201,Kabupaten Bogor,2016,28.75
JAWA BARAT,3201,Kabupaten Bogor,2017,28.44033956
JAWA BARAT,3202,Kabupaten Sukabumi,2015,28.30188679
JAWA BARAT,3202,Kabupaten Sukabumi,2016,25.24271845
JAWA BARAT,3202,Kabupaten Sukabumi,2017,37.61764523
JAWA BARAT,3203,Kabupaten Cianjur,2015,36.52694611
JAWA BARAT,3203,Kabupaten Cianjur,2016,33.04093567
JAWA BARAT,3203,Kabupaten Cianjur,2017,35.7143535
JAWA BARAT,3204,Kabupaten Bandung,2015,32.8358209
JAWA BARAT,3204,Kabupaten Bandung,2016,32.12121212
JAWA BARAT,3204,Kabupaten Bandung,2017,38.69955808
JAWA BARAT,3205,Kabupaten Garut,2015,33.74233129
JAWA BARAT,3205,Kabupaten Garut,2016,24.92211838
JAWA BARAT,3205,Kabupaten Garut,2017,43.16762545
JAWA BARAT,3206,Kabupaten Tasikmalaya,2015,33.00970874
JAWA BARAT,3206,Kabupaten Tasikmalaya,2016,22.6006192
JAWA BARAT,3206,Kabupaten Tasikmalaya,2017,33.33356025
JAWA BARAT,3207,Kabupaten Ciamis,2015,26.79738562
JAWA BARAT,3207,Kabupaten Ciamis,2016,20.50473186
JAWA BARAT,3207,Kabupaten Ciamis,2017,28.96577609
JAWA BARAT,3208,Kabupaten Kuningan,2015,23.41772152
JAWA BARAT,3208,Kabupaten Kuningan,2016,33.33333333
JAWA BARAT,3208,Kabupaten Kuningan,2017,28.52521837
JAWA BARAT,3209,Kabupaten Cirebon,2015,28.83435583
JAWA BARAT,3209,Kabupaten Cirebon,2016,22.15384615
JAWA BARAT,3209,Kabupaten Cirebon,2017,25.63285246
JAWA BARAT,3210,Kabupaten Majalengka,2015,32.06349206
JAWA BARAT,3210,Kabupaten Majalengka,2016,24.29022082
JAWA BARAT,3210,Kabupaten Majalengka,2017,30.24629003
JAWA BARAT,3211,Kabupaten Sumedang,2015,27.15231788
JAWA BARAT,3211,Kabupaten Sumedang,2016,30.6501548
JAWA BARAT,3211,Kabupaten Sumedang,2017,28.12541873
JAWA BARAT,3212,Kabupaten Indramayu,2015,23.7804878
JAWA BARAT,3212,Kabupaten Indramayu,2016,22.5
JAWA BARAT,3212,Kabupaten Indramayu,2017,29.93619805
JAWA BARAT,3213,Kabupaten Subang,2015,22.04968944
JAWA BARAT,3213,Kabupaten Subang,2016,20.18927445
JAWA BARAT,3213,Kabupaten Subang,2017,25.46060497
JAWA BARAT,3214,Kabupaten Purwakarta,2015,26.85714286
JAWA BARAT,3214,Kabupaten Purwakarta,2016,29.9382716
JAWA BARAT,3214,Kabupaten Purwakarta,2017,30.84130062
JAWA BARAT,3215,Kabupaten Karawang,2015,29.44983819
JAWA BARAT,3215,Kabupaten Karawang,2016,30.21148036
JAWA BARAT,3215,Kabupaten Karawang,2017,26.11489625
JAWA BARAT,3216,Kabupatenbekasi,2015,22.42424242
JAWA BARAT,3216,Kabupatenbekasi,2016,20.26143791
JAWA BARAT,3216,Kabupatenbekasi,2017,23.67607429
JAWA BARAT,3217,Kabupaten Bandung Barat,2015,29.61783439
JAWA BARAT,3217,Kabupaten Bandung Barat,2016,32.60188088
JAWA BARAT,3217,Kabupaten Bandung Barat,2017,34.26808786
JAWA BARAT,3218,Kabupaten Pangandaran,2015,25.42372881
JAWA BARAT,3218,Kabupaten Pangandaran,2016,18.70967742
JAWA BARAT,3218,Kabupaten Pangandaran,2017,28.12436497
JAWA BARAT,3271,Kota Bogor,2015,10.41666667
JAWA BARAT,3271,Kota Bogor,2016,18.29268293
JAWA BARAT,3271,Kota Bogor,2017,25.00052728
JAWA BARAT,3272,Kota Sukabumi,2015,34.50479233
JAWA BARAT,3272,Kota Sukabumi,2016,29.53846154
JAWA BARAT,3272,Kota Sukabumi,2017,23.07825785
JAWA BARAT,3273,Kota Bandung,2015,25.16703786
JAWA BARAT,3273,Kota Bandung,2016,28.96341463
JAWA BARAT,3273,Kota Bandung,2017,25.7575532
JAWA BARAT,3274,Kota Cirebon,2015,18.4375
JAWA BARAT,3274,Kota Cirebon,2016,24.33234421
JAWA BARAT,3274,Kota Cirebon,2017,26.50570342
JAWA BARAT,3275,Kota Bekasi,2015,11.79941003
JAWA BARAT,3275,Kota Bekasi,2016,15.96385542
JAWA BARAT,3275,Kota Bekasi,2017,15.01491667
JAWA BARAT,3276,Kota Depok,2015,7.807807808
JAWA BARAT,3276,Kota Depok,2016,8.814589666
JAWA BARAT,3276,Kota Depok,2017,14.88125919
JAWA BARAT,3277,Kota Cimahi,2015,23.69230769
JAWA BARAT,3277,Kota Cimahi,2016,21.94357367
JAWA BARAT,3277,Kota Cimahi,2017,25.54546146
JAWA BARAT,3278,Kota Tasikmalaya,2015,32.01219512
JAWA BARAT,3278,Kota Tasikmalaya,2016,30.9375
JAWA BARAT,3278,Kota Tasikmalaya,2017,38.21619557
JAWA BARAT,3279,Kota Banjar,2015,22.4025974
JAWA BARAT,3279,Kota Banjar,2016,26.82926829
JAWA BARAT,3279,Kota Banjar,2017,28
