KODE KOTA/KABUPATEN;KOTA/KABUPATEN;TOTAL POSITIF;POSITIF AKTIF;SEMBUH;MENINGGAL;TOTAL ODP;ODP SELESAI;ODP PROSES;TOTAL PDP;PDP SELESAI;PDP PROSES
3204;Kabupaten Bandung;31;27;2;2;1321;1085;236;156;106;50
3217;Kabupaten Bandung Barat;25;22;0;3;321;229;92;17;9;8
3216;Kabupaten Bekasi;57;37;13;7;2110;1374;636;600;419;181
3201;Kabupaten Bogor;53;47;3;3;236;90;146;73;18;55
3207;Kabupaten Ciamis;2;1;1;0;1681;1492;189;22;17;5
3203;Kabupaten Cianjur;1;0;0;1;584;195;389;34;7;27
3209;Kabupaten Cirebon;3;3;0;0;155;135;20;41;34;7
3205;Kabupaten Garut;3;3;0;0;2128;2031;97;35;32;3
3212;Kabupaten Indramayu;2;2;0;0;605;489;116;61;29;32
3215;Kabupaten Karawang;9;5;4;0;3121;1998;1123;151;89;62
3208;Kabupaten Kuningan;5;4;0;1;1322;1219;103;72;34;38
3210;Kabupaten Majalengka;1;0;0;1;428;363;65;29;26;3
3218;Kabupaten Pangandaran;0;0;0;0;491;460;31;2;2;0
3214;Kabupaten Purwakarta;8;7;1;0;475;315;160;54;32;22
3213;Kabupaten Subang;14;14;0;0;4417;3418;999;24;18;6
3202;Kabupaten Sukabumi;6;6;0;0;3482;1813;1669;86;37;49
3211;Kabupaten Sumedang;4;4;0;0;804;692;112;16;6;10
3206;Kabupaten Tasikmalaya;0;0;0;0;1263;1093;170;23;20;3
3273;Kota Bandung;148;116;11;21;2866;2398;468;415;176;239
3279;Kota Banjar;2;2;0;0;384;314;70;47;25;22
3275;Kota Bekasi;58;49;5;4;1432;366;1066;511;100;411
3271;Kota Bogor;62;53;3;6;979;635;344;137;58;79
3277;Kota Cimahi;32;28;1;3;748;584;164;45;14;31
3274;Kota Cirebon;1;0;0;1;310;283;27;9;3;6
3276;Kota Depok;157;136;12;9;2514;711;1803;876;201;675
3272;Kota Sukabumi;21;20;1;0;220;201;19;26;22;4
3278;Kota Tasikmalaya;5;5;0;0;1032;711;321;25;22;3
